152.2818,160.414,277.4503;152.2818,159.0021,7.9803;50.0;1.3e-05,1.0,-0.0052
139.9279,-162.8012,42.1018;143.4147,169.7501,33.3921;50.0;0.0003,0.0262,0.9997
-65.606,-88.3622,52.5438;143.4147,169.7501,33.3921;50.0;0.0362,0.0447,0.9983
-176.511,79.495,53.9903;150.4411,140.0877,43.5394;50.0;0.0309,0.0057,0.9995
-10.3647,440.8224,53.5762;139.0388,143.7572,43.1253;50.0;0.0141,-0.0281,0.9995
309.8049,429.0782,53.5762;139.0388,143.7572,43.1253;50.0;-0.0161,-0.027,0.9995
471.355,163.519,47.3623;138.6897,163.5232,50.845;50.0;0.0105,-1.3e-07,0.9999
254.9263,-61.1483,484.0388;149.3756,148.7225,34.6776;50.0;-0.3982,0.7917,0.4633
